row_id,teamAttack,teamDefense,date,Level,Comp,Zone,Origin,Start,Pass,Ruck,Clear,Contest,Score,Retain NEG,Retain Gain 1,Retain Gain +1,Retain Score,Retain HR neg,Retain HR Static,Retain HR Gain 1,Retain HR Gain +1,Lose gain neg,Lose Static,Lose Gain 1,Lose Gain +1,Lose HR neg,Lose HR Static,Lose HR Gain 1,Lose HR Gain +1,OUTCOME,game_id,retainedPosession,lostPosession,map_dic,time,outcome_score,related_score,team_scored,passRuckRatio,nextOrigin,play,time_bin
5151,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Lineout,1,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,6,9.34,2.1210476667713576,26,ITA,,Kick fielded,,10.0
5152,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Own 50,Kick fielded,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Win,0,0.0,1.0,2,9.34,-2.1210476667713576,26,ITA,,Turnover,,10.0
5153,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Opp 22,Turnover,1,2.0,2.0,0.0,1.0,7,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lose,0,1.0,0.0,3,13.32,7.0,26,ITA,1.0,Restart,Pick and Go Short,15.0
5154,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Restart,1,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,1,13.76,-0.35680634778193043,44,FRA,0.0,Kick fielded,Kick for Position,15.0
5155,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Kick fielded,1,3.0,4.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Win,0,0.0,1.0,2,14.6,0.4590656331343085,44,FRA,0.75,Free-kick,Pick and Go Short,15.0
5156,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Free-kick,1,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,5,14.87,-0.49779741218483725,44,FRA,,Lineout,Kick for Touch,15.0
5157,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Lineout,1,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,6,15.04,0.5238436130592397,44,FRA,0.0,Penalty,,15.0
5158,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Penalty,1,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,7,15.31,0.568040768353819,44,FRA,,Lineout,Kick for Touch,15.0
5159,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 22,Lineout,1,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Win,0,0.0,1.0,6,15.66,0.6309289085251941,44,FRA,0.0,Turnover,,15.0
5160,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Turnover,1,3.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,3,16.24,-0.7508404592273733,44,FRA,3.0,Kick fielded,Kick for Position,15.0
